id,name,url,sub_pages,customer_references_count,downloads_count
1,Education,/en/industries/education,"Smart Campus (/en/industries/education/intelligent-campus); Safe Campus (/en/industries/education/intelligent-campus/safe-and-secure-campus); Student Centered Learning (/en/industries/education/intelligent-campus/student-centric-services); E-rate (/en/industries/education/e-rate)",0,0
2,Energy and Utilities,/en/industries/energy-and-utilities,,0,0
3,Government,/en/industries/government,"Connected Cities (/en/industries/government/connected-cities); Defense Solutions (/en/industries/government/defense-solutions); Public Safety Solutions (/en/industries/government/public-safety-solutions)",0,0
4,Healthcare,/en/industries/healthcare,"Digital Health (/en/industries/healthcare/digital-health); Senior Living (/en/industries/healthcare/senior-living)",0,0
5,Hospitality,/en/industries/hospitality,"Guest Experience (/en/industries/hospitality/guest-experience)",0,0
6,Manufacturing,/en/industries/manufacturing,,0,0
7,Transportation,/en/industries/transportation,"Smart Airport Solutions (/en/industries/transportation/air); Intelligent Transport Systems (/en/industries/transportation/its); Smart Ports (/en/industries/transportation/ports); Smart Railways (/en/industries/transportation/rail)",0,0
8,Smart Buildings,/en/industries/government/smart-buildings,,0,0
